platform,title,offer,coupon_code,bank,payment_mode,url,expiry_date,terms_and_conditions,flight_type
cleartrip,Special Offers for Army Personnel’s Senior Citizens & Students!,Special Offers,CTDEFENCE | CTSENIOR | CTSTUDENT,,,https://www.cleartrip.com/all-offers/ptc-flights-offer/,,Terms and conditions not explicitly stated on page,domestic
cleartrip,"Get up to ₹5,000 off  on Flight Bookings!","Get up to ₹5,000 off",CTFLY,HDFC,credit card,https://www.cleartrip.com/all-offers/international-flights-intfly-offer/,,Terms and conditions not explicitly stated on page,domestic
cleartrip,"Flights starting From @ ₹ 5,999","Flights starting From @ ₹ 5,999",INTFLASH,HDFC,credit card,https://www.cleartrip.com/all-offers/tatkaal-sale/,,Terms and conditions not explicitly stated on page,international
cleartrip,"Get up to Rs. 25,000 off  on Flight Bookings!","Get up to Rs. 25,000 off",INTFLY,HDFC,debit card,https://www.cleartrip.com/all-offers/international-flights-intfly-offer/,,Terms and conditions not explicitly stated on page,international
cleartrip,"Get up to Rs. 10,000 off  on Flight Bookings!","Get up to Rs. 10,000 off",CTINT,HDFC,debit card,https://www.cleartrip.com/all-offers/international-flights-offer/,,Terms and conditions not explicitly stated on page,international
cleartrip,Flat 10% off + 5% cashback,Flat 10% off + 5% cashback with Flipkart SBI Credit Cards,CTFKSBIC,SBI,credit card,https://www.cleartrip.com/all-offers/sbicbc-ct-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,"Get up to Rs. 5,000 off + on Flights booking","Get up to Rs. 5,000 off + on Flights booking with HDFC Bank Credit Card EMI",CTHDFCEMI,HDFC,credit card,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Up to 12% off,Up to 12% off with AU Credit Cards,AUFEST,AU,credit card,https://www.cleartrip.com/all-offers/au-bank-cards-offer-ct/,10-05-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off on Domestic & International Flights,Get up to 12% off on Domestic & International Flights Applicable only on Flipkart Axis Credit Cards,NOVFKAXIS,Axis,credit card,https://www.cleartrip.com/all-offers/nov-upi-flights-offer/,,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off on Flights booking,Get up to 12% off on Flights booking with ICICI Bank Credit Cards!,ICICICC,ICICI,credit card,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 15% off on Flights Booking!,Get up to 15% off on Flights Booking! with Axis Bank RuPay Credit Cards,AXISRUPAYCC,Axis,credit card,https://www.cleartrip.com/all-offers/axis-rupay-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% offon Flights Booking!,Get up to 12% offon Flights Booking! with PNB Credit Cards,PNBCC,PNB,credit card,https://www.cleartrip.com/all-offers/pnb-credit-cards-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,"Get up to ₹ 7,750 off on Flights Booking","Get up to ₹ 7,750 off on Flights Booking HDFC Bank Pixel Credit Card EMI Transactions!",HDFCPIXELEMI,HDFC,credit card,https://www.cleartrip.com/all-offers/hdfc-pixel-cc-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% offon Flights Booking!,Flat 10% offon Flights Booking! with SBI Credit Cards,SBICC,SBI,credit card,https://www.cleartrip.com/all-offers/sbi-credit-cards-emi-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off +additional savings on EMI,Get up to 12% off +additional savings on EMI with Axis Bank Card EMI,AXISEMI,Axis,credit card,https://www.cleartrip.com/all-offers/axis-ncemi-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off + on Flights Booking,Get up to 12% off + on Flights Booking HDFC Bank Credit Card EMI Transactions!,HDFCCC,HDFC,credit card,https://www.cleartrip.com/all-offers/ct-hdfc-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% offon Flights Booking,Get up to 12% offon Flights Booking with HDFC Bank Credit Cards,HDFCCC,HDFC,credit card,https://www.cleartrip.com/all-offers/ct-hdfc-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off on Flights booking,Get up to 12% off on Flights booking with Yes Bank Credit Card,YESCC,Yes Bank,credit card,https://www.cleartrip.com/all-offers/yes-creditcards-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 15% off on Signature & Infinite Credit Cards,Flat 15% off on Signature & Infinite Credit Cards with Kotak Credit Cards,KOTAKCC,Kotak,credit card,https://www.cleartrip.com/all-offers/kotak-credit-cards-campaign-on-flights/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% offon Flight Bookings!,Get up to 12% offon Flight Bookings! with AU Credit Cards,AUCC,AU,credit card,https://www.cleartrip.com/all-offers/au-bank-cards-offer-ct/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 15% offNo Cost EMI,Get up to 15% offNo Cost EMI with BOBCARD EMI Transactions!,BOBEMI,Bank of Baroda,credit card,https://www.cleartrip.com/all-offers/bob-cc-emi-flights-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Get up to 12% off + on Flights Booking!,Get up to 12% off + on Flights Booking! with RBL Bank Credit Card EMI,RBLEMI,RBL,credit card,https://www.cleartrip.com/all-offers/rbl-credit-cards-ncemi-campaign/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% off + 3 & 6 months No Cost EMI,Flat 10% off + 3 & 6 months No Cost EMI with Bajaj Finserv Cards!,CTBFL,Bajaj Finserv,credit card,https://www.cleartrip.com/all-offers/bajaj-finserv-cards-campaign/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% off + 5% cashback,Flat 10% off + 5% cashback with Flipkart Axis Credit Cards,CTFKAXIS,Axis,credit card,https://www.cleartrip.com/all-offers/flipkart-axis-cc-ct-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
cleartrip,Flat 10% off + 5% cashback,Flat 10% off + 5% cashback with Flipkart SBI Credit card,CTFKSBIC,SBI,credit card,https://www.cleartrip.com/all-offers/sbicbc-ct-special-offer/,30-09-2024,Terms and conditions not explicitly stated on page,domestic/international
